,Job Title,Location,Date,Link,Job Attributes,Job Description
18,Teen Parenting Program Family Advocate- Melrose," (Melrose, MA north shore )",Oct-29,https://boston.craigslist.org/nos/npo/d/melrose-teen-parenting-program-family/7400789745.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Family Advocate – Melrose (Flexible afternoon, evening and overnight shifts available)

Centerboard is offering an opportunity to work in a supportive environment with flexible scheduling, full benefits with afternoon, weekend and overnight shifts available.  If you are looking for a second job or to get back into the workforce, change of career or have experience or a desire to work with children and teen moms please consider applying to Centerboard Teen Parenting Program.  This position offers paid training and participates in the Public Service Student Loan Forgiveness Program. 

 General Summary Family Advocate:

The primary focus of the Family Advocate is to provide support and services to the youth population served in a well-defined and coordinated manner. Each Family Advocate will work collaboratively to manage a case load of residential families. The Family Advocate will also be responsible as part of the team or while alone on shift, for the safety of all residents and the facility.
Essential Job Functions: 
•Research community based services and resources in the area that could be beneficial for residents and their children as needed. 
•Maintain and model healthy relationships and confidentiality with residents as well as coworkers. 
•Demonstrate the ability to manage through crisis situations with residents and their children in a timely and appropriate manner.
•Oversee each resident family’s participation in shared chore responsibility, assist and train where needed.
•Maintain awareness of physical facility maintenance and unit furnishings; report any concerns to Program Director or through existing documentation process. 
•Support incoming families with all immediate needs (i.e. food, clothing, hygiene products, medical appointments, etc.).
•Conduct intake with new residents including house tour and orientation, gathering of important resident information and documentation, fridge and cabinet location, daily check in and out procedures, chore responsibilities, location of important documents and memos, etc. 
•Provide comprehensive family life advocacy to include but not be limited to:
o	Assisting with benefit acquisition and use of benefits
o	Providing for and facilitating group workshops and skill building sessions in the areas of: parenting, budget and housing, family management, education/employment, independent living skills, life skills and nutrition. 
o	Facilitating housing search process: completing and sending out housing applications.

Qualified candidates, apply via the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter

"
19,Youth Counselor Group Home-Lynn, (Lynn boston/cambridge/brookline ),Oct-29,https://boston.craigslist.org/gbs/npo/d/lynn-youth-counselor-group-home-lynn/7400788498.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Full-Time and Part-Time Opportunities Available- Flexible afternoon, Evening, Weekend and Overnight Shifts

Centerboard is actively recruiting for youth counselors to work at our Adolescent Co-ed Program. This is an exciting opportunity for someone who is looking for a flexible work environment and enjoys working with youth. If you are looking for a second job or to get back into the workforce, change of career or a desire to work with youth in a non- office type of environment this is the job for you. If you have an outgoing personality, good customer service skills and want to work in a flexible environment while helping others please apply to the posting via the link below. This position offers competitive pay, comprehensive benefits, paid time off, paid training to qualified candidates. Centerboard participates in the Public Service Student Loan forgiveness Program.

Essential Functions:
•	Providing transportation, oversight and support with life skills to youth ages 13-18.
•	Managing shift requirements and documentation as needed.
•	Engage with youth in activities indoors and outdoors including opportunities to make connections with family and community members.
•	Motivate and support youth with daily activities, coping and barriers to tasks.
•	Ensure safety and wellbeing to every extent possible to program participants.
•	Abide by policies and procedures as required by licensing agencies.

Experience working with youth in group activities welcomed. A valid driver's license with an acceptable driving record is required. 

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter "
20,Youth Counselor Group Home-Lynn, (Lynn north shore ),Oct-29,https://boston.craigslist.org/nos/npo/d/lynn-youth-counselor-group-home-lynn/7400787459.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Full-Time and Part-Time Opportunities Available- Flexible afternoon, Evening, Weekend and Overnight Shifts

Centerboard is actively recruiting for youth counselors to work at our Adolescent Co-ed Program. This is an exciting opportunity for someone who is looking for a flexible work environment and enjoys working with youth. If you are looking for a second job or to get back into the workforce, change of career or a desire to work with youth in a non- office type of environment this is the job for you. If you have an outgoing personality, good customer service skills and want to work in a flexible environment while helping others please apply to the posting via the link below. This position offers competitive pay, comprehensive benefits, paid time off, paid training to qualified candidates. Centerboard participates in the Public Service Student Loan forgiveness Program.

Essential Functions:
•	Providing transportation, oversight and support with life skills to youth ages 13-18.
•	Managing shift requirements and documentation as needed.
•	Engage with youth in activities indoors and outdoors including opportunities to make connections with family and community members.
•	Motivate and support youth with daily activities, coping and barriers to tasks.
•	Ensure safety and wellbeing to every extent possible to program participants.
•	Abide by policies and procedures as required by licensing agencies.

Experience working with youth in group activities welcomed. A valid driver's license with an acceptable driving record is required. 

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a&selectedMenuKey=CareerCenter "
21,Day Activities Specialist, (Medford north shore ),Oct-29,https://boston.craigslist.org/nos/npo/d/medford-day-activities-specialist/7400784395.html,"
compensation: 16.80 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you a caring, organized, energetic, optimistic, reliable, team player with great interpersonal skills?  COME WORK WITH US while we help build a world in which individuals with disabilities and other disadvantages realize their full potential. 



Position: Day Activities Specialist 1 – Full Time



Location: Medford, MA

Rate of Pay: $16.80 per hour 

Hours: 37.5 hours per week

Schedule: Monday – Friday 8:30am – 4:30pm



Summary: The Day Activities Specialist 1 develops services that assist individuals in becoming more independent and engaged in activities of the local community. Community day activities include recreational, socialization, volunteerism, employment, educational opportunities and wellness initiatives.



Specific Responsibilities:

Plans and implements the community day activity plans and placement for a given caseload.  
Ensures that high quality services are provided to participants and community partners, allowing individuals to maximize their personal and professional level of community integration. 
Develops and implements day activities in the community that correspond to participant interests, skills, and choices. 
Partners with clinical team to implement behavior management interventions as needed. 
Implements the day activity and employment plans and placement for individuals served, monitoring progress in achieving goals. 
Provides direct individualized and group activities to consumers such as ADL’s, socialization, wellness and recreational.  
Develops job opportunities and employer relationships to include individual and group placements that correspond to participant interests and skills. 
Collaborates with staff to identify support and service needs for members/individuals served, developing plans to ensure objectives are met. 
Maintains regular contact with employers, referring counselors, support services and families, as appropriate.  Attends Individual Plan review and team meetings 
Plans and implements the vocational assessment, placement, training and follow-along for given caseload. 
Maintains regular contact with the employer, referring counselors, support services, and families, as appropriate. 
Provides job training, coach and support, working alongside program participants as assigned during scheduled work hours, including periods when the individual(s) may not be working at a specific job.
.



Qualifications: High School/GED or HiSET plus 3 years related experience OR Associate's Degree plus 1 year related experience OR Bachelor degree. One year supervisory or human service experience desired. Knowledge of and respect for diverse populations.



Requirements: Ability to use computers to include Microsoft Word, data entry, email and internet essential. Valid driver’s license, 3 years driving experience, good driving record, use of vehicle with compulsory auto insurance and vehicle registration, and willingness to transport program members in personal and/or agency vehicle.  Must be able to travel within the region to access residential settings, employers, and community organizations.



EXCELLENT BENEFITS including Competitive Pay, Excellent Insurance, Employer Matching Retirement + Work/Life Balance



Competitive Pay with Promotional Opportunities
Strong focus on work/life balance
Medical, Dental, & Vision Insurance
Health Savings Account
Health Care and Dependent Care Reimbursement Accounts
403(b) Retirement plan with employer match of 100% (up to 4% of employee contribution)
Company-paid disability insurance, life insurance, and AD&D insurance
Generous Paid Time Off & Sick Time
Tuition Scholarship Program
Professional and personal growth opportunities
Employee Assistance Program for employees and loved ones
Preferred ratings for home, renters’, pet, and auto insurance
Fitness and Weight Loss program support 




To apply, please see the Careers section of our website at VIABILITY.org



Who We Are

Our team of over 400 dedicated employees share the desire to do meaningful work and make a difference in the lives of individuals with disabilities in Massachusetts, Connecticut, New York, Rhode Island, and Oklahoma.





Our Mission

We believe individuals with disabilities and other societal disadvantages are an essential resource for our country’s future.  Our mission is to help build a world in which individuals with disabilities and other disadvantages realize their full potential. 



Our Vision

Viability will be a positive disruptive force in the marketplace leading the innovative designs of future service delivery for individuals with disabilities and other disadvantages to realize their full potential within their communities of choice.



Viability is an equal opportunity workplace and Employer of Choice. We believe our strength lies in embracing our differences through a respectful, inclusive, collaborative environment. Viability provides reasonable accommodations to qualified individuals with disabilities in all aspects of the employment process.    "
22,Fight Climate Change! Canvassers Needed! -  $21-$27/hr, (Boston boston/cambridge/brookline ),Oct-29,https://boston.craigslist.org/gbs/npo/d/boston-fight-climate-change-canvassers/7400731981.html,"
compensation: $21-27/hr

employment type: employee's choice

","

QR Code Link to This Post


Help Us Build Support for the Nation’s Leading Environmental Group! 
Greenpeace is bringing people together to protect the environment. If you want to stop plastic pollution, protect forests, expand renewable energy, or promote environmental justice, join us!  We are building support and fundraising on behalf of Greenpeace to ensure they have the resources to save our planet for future generations.

Get paid well! Staff should expect to earn $21-27/hour.  We offer overtime pay, paid training, regular raises, sick pay, healthcare for full-time staff and bonuses for friend referrals.

Stay Safe!  We have strict health and safety protocols that include a contactless approach to campaign work. We provide all of the training and Personal Protective Equipment (PPE) you will need. 

Apply here: https://www.theoutreachteam.net/interest-form-f2f/?SC=CraigslistF2F

Location: Boston, MA

We are hiring immediately, all positions are year-round with possibilities for advancement. Shifts run from 2:30pm - 10:00pm Monday-Friday with the possibility to work part-time or full-time.

Canvasser Responsibilities:
- Engage with the public in a friendly and professional manner
- Deliver a compelling campaign story, sign up members and generate donations for Greenpeace
- Participate in staff trainings to improve your outreach skills
- Strictly follow our health and safety protocols

The ideal candidate:
-Passionate about environmental issues and combating the climate crisis
-Strong communication skills; you should enjoy working with other people and be willing and excited to speak with everyone
-Hard worker who will stay motivated to engage as many people as possible
-Open to new challenges and are interested in building their campaign skills
-Culturally competent and able to respectfully engage with teammates and the community

Prior canvassing experience is a plus but not required.
Pay: Expect hourly rate - $17-$25. We offer overtime pay, paid training, regular raises, sick pay, healthcare for full-time staff and bonuses for friend referrals.

Apply here: https://www.theoutreachteam.net/interest-form-f2f/?SC=CraigslistF2F

We are committed to equity, inclusion, and anti-racism. We are an equal opportunity employer and we strongly encourage Black, indigenous, people of color, women, people with previous felony convictions, members of the LGBTQIA+ community, and others who identify with underrepresented groups to apply.
"
23,Manager - Adult Residential, (Framingham boston/cambridge/brookline ),Oct-29,https://boston.craigslist.org/gbs/npo/d/framingham-manager-adult-residential/7400694524.html,"
compensation: $55,000 - $62,500 salary per year DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


 The residential manager will provide supervision of the staff and the residences to ensure a positive, healthy, safe and happy home for the five adult individuals served in Framingham. The families of the individuals are very involved in their daily lives and the residential manager and the Guild team work collaboratively with the families to ensure a high quality of life for these young men.

Some Responsibilities: 
Directly schedule, monitor, supervise, and evaluate all staff within the assigned residence.
Participate in the hiring, interviewing and disciplinary action processes.
Provide the individuals who reside in the home an enriched quality of life in their community.
Ensure that all residential data collection systems, logs and records are up to date.
Ensure the upkeep of the home by overseeing day to day cleanliness and identifying repairs.
Oversee the homes food, supply and community activity expenditures, (DCF) clothing and personal needs expenditures and/or individuals’ personal household accounts.
Oversee usage, ordering and purchasing of individual household and health related supplies.
Complete all required reports and assessments using HCSIS (DDS) and E-SPED (DEEC.)
Ensure all incident reports, restraint reports and other documentation is completed related to all residential events and follow up on per Guild policy and the appropriate regulations.
Requirements:
Bachelor’s degree in special education, psychology, human services or related field required; 
A high degree of effective oral and written communications skills in English 
At least one year of residential management experience and two years direct support experience with developmental disabilities population required. 
Excellent organization and time management skills. 
Reliable transportation to multiple residential locations in Massachusetts 
Proficiency in Microsoft Office Suite 
Ability to demonstrate supervisor and administrative skills 
A valid driver's license 
Must meet Massachusetts Criminal Offender Record Information (CORI) background check requirements. 

Apply Here: https://www.guildhumanservices.org/form/apply-online "
24,Shipping-Warehouse Coordinator, (boston boston/cambridge/brookline ),Oct-28,https://boston.craigslist.org/gbs/npo/d/brookline-shipping-warehouse-coordinator/7400624059.html,"
compensation: $15 to $17

employment type: full-time

non-profit organization

","

QR Code Link to This Post


SPECIFIC ACTIVITIES:

1.	Ensures that all orders are processed and completed on a daily basis (as far as is within reasonable limits based on staffing and quantity of orders.)
2.	Work with Sales Department to ensure that backorders are processed quickly and that items that go on backorder are reviewed to verify that these items are being reprinted.
3.	Makes sure all new releases are given to the appropriate people so that standing orders can be processed.
4.	Receives all truck shipments for inventory purchases and process the appropriate paperwork.
5.	Processes all product receipts and bin transfers on the computer.
6.	Makes up a sufficient number of boxes for daily shipping needs.
7.	Brings up cases of stock as needed from the inventory warehouse floors.
8.	Responsible for selecting all items from the picking tickets accurately.
9.	Verifies orders and makes sure to include advertising with every order.
10.	Carefully packs and tapes boxes, attaches labels and packing lists, and passes along to the scale position.
11.	Represent Pauline Books and Media to all outside vendors.
12.	Communicate with all other departments as necessary.
13.	Verify and submit all invoices attributable to the department.
14.	Verify the accuracy of all inventory reports.
15.	Maintains an adequate amount of inventory on the stock room shelves.
16.	Keeps the stock areas in order including dusting the shelving units while restocking.
17.	Helps to stack pallets and loads them for removal as needed.
18.	Sweeps the stock areas when needed. 
19.	Receives in-bound UPS, USPS, and Fed Ex deliveries.  Brings out-bound shipments to Dock C and/or front door.
20.	Receives inbound inventory shipments.
21.	Fulfills any other tasks as needed

"
25,Direct Support Professional [WALTHAM], ( northwest/merrimack ),Oct-28,https://boston.craigslist.org/nwb/npo/d/waltham-direct-support-professional/7400348861.html,"
compensation: $15.00 - $17.25/hr

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Are you ready to make a positive impact in the community?

Are you ready to partner with a compassionate team of individuals?

Are you ready to build a career while advancing your skillsets in human services?

Resources for Human Development (RHD) is now hiring Direct Care Professionals, with a $1,000 sign on bonus!

RHD Boston provides residential, day and individual programs to support men and women with developmental disabilities in the Greater Boston area. We are seeking caring and compassionate individuals for the role of ""Direct Care Professionals,"" who are committed to building meaningful relationships in order to provide outstanding care and service for our clients. We offer both Full-Time, Part-Time and On Call options at our residential and day programs in various shifts.

Responsibilities/Duties:

The Direct Support Professional (DSP) is responsible for supporting individuals to lead productive lives as members of their local communities as independently as possible. DSPs support individuals by:

· Assisting with activities of daily living

· Assisting with the development and implementation of goals set in the individuals’ ISP

· Ensuring that all safety protocols are implemented within the home and community

· Ensuring all medical protocols and treatments are followed

· Participating as a member of the program’s team working with clinical and management staff.

We are Hiring Dynamic Team Members Who:

· Are dedicated to enriching and improving the lives of others.

· Have a valid driver’s license.

· Have basic computer and internet literacy with the ability to utilize applications like emails, time recording and other programs to enter and retrieve data as necessary to perform the essential functions of the job.

· Possess a high school diploma or GED preferred; for international students secondary education preferred but not required.

· Prior experience in Human Services field is preferred but not required.

· Must have current First Aid Certification.

· Must have CPR certification within one month of hire.

· Must complete Medication Administration certification within three months of hire.

Required Education
High School diploma and GED preferred; for international students secondary education preferred but not required

Required Qualifications:

Must have current First Aid Certification
Must have a valid driver’s license
Required to complete CPR certification within one month of hire
Required to complete Medication Administration (MAP license) Certification within three months of hire

Resources for Human Development is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, gender, gender identity, sexual orientation, national origin, genetic information, veteran, or disability status.


What You'll Love About RHD:

· Investment in Growth: We offer programs and workshops to our staff that support furthering education and the development of leadership skills.

· Dedication to Wellness: We value and prioritize our employees' mental, physical and emotional health by providing FREE, online fitness classes, nutrition services, counseling sessions and webinars on various health-related topics.

· Commitment to Values: We are committed to the fundamental value of dignity and respect for all human beings, to the empowerment of our consumers and staff, and do the flexibility to meet the changing needs of all of our partners and those we serve.

Competitive & Generous pay starting at $15.00 - $17.25/hr

· FREE On the job training

· Comprehensive health coverage including medical, eye and dental for qualifying staff

· FREE $10,000 Life Insurance

· Work/Life Balance with generous paid time off & holiday pay

· Retirement 403b Plan

· Supplemental Benefits available

· Employee Discounts such as: BJs Discount Membership offer, Sam's Club, Cell Phone Carrier

Discounts, Varying Entertainment Discounts and MET Home and Auto Discounts

Resources for Human Development is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, gender, gender identity, sexual orientation, national origin, genetic information, veteran, or disability status.

APPLY NOW for both Full Time and Part Time Opportunities!

Apply Online today for quickest response for interviews:
https://www.rhd.org/about-rhd/work-with-us/ "
26,1:1 Skills Trainer, (Danvers north shore ),Oct-28,https://boston.craigslist.org/nos/npo/d/danvers-11-skills-trainer/7400295842.html,"
compensation: $18-$25 based on education and experience

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Northeast Arc is looking for a part time 1:1 Skills Trainer to provide in-home and community support for individuals with developmental disabilities.
Positions are available in the Danvers, Haverhill, and Lawrence area, (You can choose a location that works best for you) 

Job Summary: Provides individualized in-home/community skills training, utilizing a designated activity

Major Responsibilities:



Works 1:1 with indivduals at home and in the community.
Works on specific goals and tasks with the individual; teaches communication, leisure, life skills and adaptive behavior.
Ensures health, safety and well-being of consumer participating in the program.
Maintains regular and thorough communication with families, Program Director and other professionals involved with the family, when appropriate.
Recognizes and is sensitive to the attitudes and behaviors of the disabled individual.
Helps individuals develop to the maximum level possible.
Respects human and legal rights of the individuals we service.
Enacts the Northeast Arc emergency policy when necessary
Completes all necessary paperwork such as progress notes, incident reports, time sheets and required DDS progress reports throughout the year

Qualifications:

Bachelor’s degree in psychology, or related field strongly preferred.(Current college students encouraged to apply) 
2-5 year of related human service experience required.
Strong communication and inter personal skills.
Proficient technology skills and ability to provide needed documentation and notes
Valid driver’s license is required.
Schedule: 3-10 hours per week (exact schedule is based on client’s needs, this may include evenings and weekends)  

Pay Rate: $18-$25 per hour based on education and experience


**APPLY ONLINE AT: https://ne-arc.applicantstack.com/x/detail/a2vmsjofr4oe "
27,Administrative Assistant," (Waltham, MA boston/cambridge/brookline )",Oct-28,https://boston.craigslist.org/gbs/npo/d/waltham-administrative-assistant/7400248602.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Support older adults by working in the Springwell Nutrition Department!
POSITION DESCRIPTION
Springwell is seeking a highly organized, professional individual to provide administrative support for the Nutrition Department. 
Responsibilities include:

Answering all incoming calls, screening calls, calling consumers back to provide answers to inquiries
Processing department voicemails and e-mails
Recording subjects in the appropriate database, and communicating with appropriate staff
Completing data entry 
Printing and mailing menus, donation statements, and consumer satisfaction surveys
Formatting and typing menus
Assisting with special projects
Providing coverage for department and agency, as needed

Our ideal candidate will be a team player with a positive attitude who is sensitive to the needs of older adults and individuals with disabilities. The ability to multi-task is essential to being successful in this position.
QUALIFICATIONS

Associate's or Bachelor's degree, preferred
2 years of administrative experience, preferred 
Proficiency with MS Office and database applications required
Excellent organizational skills with attention to detail
Excellent communication and customer service skills

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Massachusetts, Nutrition, Administrative Assistant, Administration, Assistant, Support, Support Staff, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2047342-143011 "
28,Staff Accountant," (Waltham, MA boston/cambridge/brookline )",Oct-28,https://boston.craigslist.org/gbs/npo/d/waltham-staff-accountant/7400247707.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Staff Accountant! The Staff Accountant will be an integral member of the Finance Team in a growing agency! 
POSITION DESCRIPTION
The Staff Accountant will perform a variety of functions related to record keeping, billing, data entry and accounts payable. The Accountant should be comfortable making and taking telephone calls from consumers and vendors around billing issues.
Our successful candidate will have a positive attitude, flexibility, and the ability to adapt to changing priories in a fast paced environment. 
QUALIFICATIONS

Bachelor's Degree in Accounting or General Ledger experience in lieu of a degree. 
Minimum of 1-3 years' accounting experience.
Strong organizational skills, attention to detail, and collaborative work style.
Working knowledge of Excel.
Reliable transportation required.

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Ashland, Dover, Framingham, Holliston, Hopkinton, Natick, Sherborn, Sudbury, Wayland, Boston, Westwood, Accounting, Accuracy, Analysis, Audits, Billing, Financial, Payroll, Reports, Accounts Payable, Accounts Receivable, MS Excel, General Ledger
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2047334-143011 "
29,Community Manager/Property Manager, (East Boston north shore ),Oct-27,https://boston.craigslist.org/nos/npo/d/boston-community-manager-property/7400018971.html,"
compensation: $60,000-$70,000 annually depending on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The East Boston Community Development Corporation (EBCDC, Inc) is a small nonprofit property management and real estate development company with 50 years of experience servicing and providing affordable housing to the local community. EBCDC is looking to recruit a new team member to their unified work environment. There is excellent growth potential and a very competitive benefit package. 

Overall responsibilities of the position: 
Assists the Regional Manager by overseeing all on-site operations of a 111 unit 5 building tax credit mixed income family housing property while achieving the property financial and operational objectives. Oversees property maintenance, accounts payable/receivable and assists with oversight of capital projects. The Position also works with the management team to ensure that all activities are conducted in compliance with all local, state and federal, landlord/tenant and real estate laws.  

Essential Functions 
•	Oversee the overall financial and operational performance of the property.
•	Prepare monthly variance reports working with senior management to resolve financial issues.
•	Responsible for the marketing activities of the property to ensure budgeted occupancy goals.
•	Ensures compliance with all tax credit requirements and regulations including assisting in the compliance audits as required.
•	Identify and coordinate the maintenance activities and priorities within budgetary limits of the property. Works with the maintenance team to implement maintenance programs and controls.
•	Ensures both interiors and exteriors of property are properly maintained.
•	Ensures the property's move in, move out, and recertification process are timely and accurate.
•	Responsible for compliance with Affirmative Fair Housing regulations and Equal Opportunity/Affirmative Action policies, including federal, state, and local governing agency requirements.
•	Assess property security requirements and recommend changes as necessary.
•	Manage, and work with staff.
•	Develop and maintain relationships with all constituents; owners, residents, vendors, etc.    "
30,Assessment Specialist and Options Counselor," (Waltham, MA boston/cambridge/brookline )",Oct-27,https://boston.craigslist.org/gbs/npo/d/waltham-assessment-specialist-and/7399788773.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Provide older adults and individuals with disabilities with information and resources that can keep them living independently in the community.
* This position has a $1500.00 SIGN-ON BONUS
The Assessment Specialist/Options Counselor introduces older adults, individuals with disabilities and their caregivers to the agency. They review resources and available services, including those through the state-subsidized Home Care program. They empower consumers to be in control of their decisions for long-term care. As directed by the consumer, they create care plans and coordinate services.
No weekends, evenings, nights or holidays.
QUALIFICATIONS

Bachelor's Degree or higher.
Applicants without a Bachelor's Degree may be considered if:

The applicant has an Associate's Degree and at least 3 years' experience working with elders or providing case management services; OR
The applicant has completed at least 50% of coursework required for a Bachelor's Degree and agrees to complete the remaining coursework within a 3 year period.


Experience working with computers, entering data, and running reports.
Applicant must have a reliable car, current driver's license, and safe driving record.

GENEROUS BENEFITS

3 weeks of vacation in first year
Birthday off
12 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450hrs/12weeks)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months for most positions; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within

COMPANY PROFILE
At Springwell, we are dedicated to our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also committed to our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
Throughout the COVID-19 pandemic, Springwell has remained open and operational. We have continued to provide in-home services to individuals in a safe manner based on our consumer directed philosophy. We have also created a hybrid work model for staff that seeks to balance the needs of the agency with flexibility for staff.
We believe in and are looking for new staff who embrace:

Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.


Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Telecommuting, Remote, Telecommuter, Telecommute, Council on Aging, Program Coordinator, Case Worker

If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/2045559-143011 "
